age,income,past_spend,days_since_active,device_mobile,promo_email,outcome_ltv
23.0,80436.63,850.45,18,1,1,318.0
32.0,99777.15,381.49,13,1,0,306.43
20.0,49534.87,206.61,14,0,0,158.33
55.0,97302.67,536.4,18,0,0,237.09
18.0,56302.37,632.43,14,1,1,231.25
30.0,36603.44,408.28,16,1,0,111.76
37.0,88103.41,29.14,15,1,0,114.93
52.0,102268.96,93.09,24,0,0,222.18
18.0,134697.72,167.94,10,1,0,363.46
49.0,40006.87,166.08,10,1,0,244.97
35.0,87472.99,559.54,13,1,1,307.15
23.0,59754.97,9.26,13,0,0,189.63
41.0,89583.97,704.64,23,1,0,218.27
37.0,33237.76,154.18,13,1,0,49.47
28.0,38430.76,185.55,17,0,0,54.97
36.0,50603.13,375.29,19,0,0,157.77
30.0,71974.1,121.63,17,1,0,125.57
36.0,53972.97,1079.12,7,1,0,221.52
43.0,86476.36,44.62,25,1,0,155.39
54.0,95672.37,293.84,13,1,1,313.89
20.0,84989.44,946.64,15,1,0,244.01
61.0,110469.69,478.35,18,1,0,161.32
18.0,80395.67,172.89,11,1,1,319.32
33.0,39577.58,273.02,9,0,0,141.84
42.0,104084.41,613.27,13,1,0,253.63
38.0,54871.09,1810.81,19,1,0,320.84
28.0,92760.46,1118.11,19,1,1,495.67
33.0,109343.36,209.6,7,1,0,276.83
29.0,81417.2,3159.4,20,1,1,659.66
28.0,32596.03,1.76,13,0,0,201.27
45.0,47044.7,14.01,16,1,0,240.02
39.0,103068.61,868.18,16,0,0,251.54
27.0,65771.93,111.24,11,1,0,111.51
46.0,71989.34,31.35,16,1,0,142.89
39.0,88970.61,135.35,13,1,0,221.91
45.0,87408.07,277.65,18,1,0,295.91
43.0,76970.0,655.72,13,0,0,274.87
25.0,64783.29,489.53,14,0,0,140.36
28.0,62183.29,135.66,14,1,0,129.35
44.0,91447.47,349.85,28,1,0,209.78
42.0,83839.24,1303.29,18,1,0,237.55
35.0,63567.5,843.72,13,0,0,236.19
36.0,97052.81,195.18,11,1,0,182.2
50.0,66774.15,2016.1,10,1,0,282.62
28.0,48708.45,616.56,17,1,0,127.72
42.0,51025.73,32.24,20,1,0,135.83
33.0,45531.48,17.9,11,1,0,141.06
32.0,63189.75,92.21,15,1,0,160.43
48.0,100843.11,650.71,10,1,0,346.34
45.0,49872.62,101.51,16,1,0,172.18
45.0,74711.89,358.19,13,1,0,219.46
51.0,53582.77,48.95,16,1,0,133.38
35.0,63492.27,1268.43,13,1,0,284.31
43.0,32248.97,210.77,15,1,0,98.19
31.0,64486.54,1193.7,14,1,0,161.63
39.0,65157.37,1449.08,21,1,0,340.0
33.0,83507.2,3.07,16,1,0,205.2
36.0,75582.02,311.94,16,1,0,139.54
42.0,40040.2,12.48,20,1,0,162.72
25.0,97104.96,1196.76,15,1,0,304.39
60.0,75257.58,365.33,11,1,0,209.66
23.0,74959.84,38.95,18,0,0,218.99
20.0,69770.44,58.42,20,1,0,166.39
49.0,57056.06,241.86,15,0,0,225.07
44.0,75445.06,1408.66,15,0,0,294.15
42.0,81889.71,590.31,10,1,0,337.37
43.0,26327.61,1011.04,17,0,0,130.87
35.0,56530.98,228.21,18,1,0,215.76
24.0,63626.33,22.09,16,1,0,34.21
36.0,76404.27,1830.98,15,1,1,396.85
27.0,99832.78,8.66,9,1,0,247.43
47.0,50706.48,1474.92,15,1,0,248.88
33.0,57550.95,229.97,19,1,0,146.36
25.0,57186.65,5.07,18,1,0,130.96
31.0,49961.81,584.23,12,1,0,124.8
40.0,61320.34,1969.7,8,1,1,376.66
28.0,89270.06,1685.22,13,1,0,382.67
25.0,43654.11,87.73,12,0,0,88.77
38.0,80695.36,99.99,15,1,0,258.44
38.0,27452.44,416.82,6,1,0,124.99
29.0,55966.55,507.1,14,1,0,220.58
29.0,61762.77,672.42,18,0,0,226.91
38.0,111871.49,99.87,12,1,0,229.67
18.0,63129.94,1597.18,15,0,0,206.96
18.0,20000.0,509.08,13,1,0,174.15
26.0,20027.78,938.81,15,1,0,104.99
32.0,70850.74,388.34,20,0,0,170.35
39.0,85344.27,267.45,15,0,0,209.89
53.0,79386.4,1890.12,9,1,0,377.23
45.0,74189.25,436.28,18,1,0,254.1
33.0,99056.49,1008.23,9,0,0,331.23
35.0,56510.22,1531.92,18,1,0,273.85
23.0,92372.76,562.51,17,1,0,307.92
35.0,29199.63,398.08,10,1,0,158.24
32.0,47376.3,1.76,10,1,0,88.15
39.0,24823.97,20.42,10,0,0,24.33
25.0,63128.87,112.1,17,1,0,112.28
41.0,68843.47,102.9,10,0,0,175.52
53.0,72852.54,147.02,13,1,0,122.1
34.0,71547.08,181.87,18,1,0,179.82
40.0,46811.17,223.19,18,1,1,187.88
43.0,65243.98,272.83,18,0,0,44.64
30.0,32563.83,52.05,10,0,0,30.02
38.0,104080.72,21.64,13,0,0,90.04
35.0,62409.35,560.34,7,1,0,199.66
36.0,57777.85,385.38,17,0,0,223.79
26.0,109723.51,293.62,13,0,0,178.28
35.0,38943.84,503.16,9,1,0,94.09
41.0,41860.32,879.2,13,1,0,187.45
52.0,42594.49,279.04,19,1,1,125.79
47.0,68303.22,512.38,22,1,0,140.41
61.0,80790.79,1534.93,22,0,0,348.15
26.0,88491.89,915.12,16,1,0,261.75
45.0,134299.88,277.56,18,1,0,236.02
37.0,20000.0,517.42,15,1,0,7.36
61.0,85218.39,97.44,13,1,0,314.6
25.0,56071.74,411.08,16,0,0,227.67
25.0,55339.62,1990.37,14,1,1,389.51
28.0,54505.7,365.23,9,1,0,181.93
18.0,47280.76,1313.04,21,0,1,285.22
29.0,112113.12,261.56,18,0,0,289.91
26.0,91057.43,3381.75,12,1,1,619.19
37.0,70579.9,432.82,16,1,0,175.28
39.0,103775.39,21.59,15,1,0,252.48
58.0,32186.78,441.86,19,0,0,193.25
46.0,36732.37,160.5,12,0,0,152.59
28.0,20000.0,16.51,10,1,0,133.35
24.0,52514.64,859.78,13,1,0,199.39
41.0,74042.46,161.3,24,1,0,135.06
19.0,72571.46,796.16,19,1,0,139.84
57.0,73733.55,169.99,19,1,0,180.08
49.0,34723.58,108.04,14,1,0,121.2
29.0,90078.87,1823.59,10,1,0,377.52
18.0,75990.69,224.43,14,0,0,157.59
51.0,88326.36,459.87,11,1,0,312.81
34.0,22680.95,470.78,17,0,0,140.03
50.0,77787.27,411.03,11,1,0,290.32
18.0,40305.87,1230.77,16,0,0,174.01
28.0,60066.92,561.11,9,1,0,172.83
35.0,83359.12,258.53,18,1,0,266.73
36.0,72277.34,991.63,15,1,1,353.35
30.0,48711.5,99.87,16,1,0,96.96
42.0,70156.83,392.89,17,0,0,170.63
22.0,31711.62,1503.4,15,1,1,291.33
33.0,98756.68,490.95,20,1,0,306.76
36.0,64867.9,849.05,12,1,0,232.61
41.0,97963.75,530.02,13,0,0,312.46
44.0,56836.71,914.33,13,1,0,252.48
22.0,56910.6,1445.58,6,1,0,252.46
18.0,50895.33,159.36,13,0,0,97.77
50.0,91904.35,92.96,19,1,0,182.59
39.0,52264.22,330.82,15,1,0,90.77
26.0,86114.89,605.1,4,1,0,249.03
54.0,60438.69,128.86,11,1,0,237.44
36.0,20600.92,2.05,15,1,0,59.84
49.0,55742.15,209.99,14,1,0,116.16
36.0,40522.29,1734.62,21,0,0,358.29
60.0,70847.57,593.67,15,0,0,174.53
56.0,40239.81,256.52,11,0,0,86.04
32.0,93149.38,106.95,12,1,0,284.47
47.0,67723.1,220.1,18,1,0,204.52
43.0,65560.1,93.07,11,0,0,161.92
51.0,86397.3,56.2,16,1,0,238.01
23.0,94097.67,1186.19,14,0,0,343.84
43.0,69497.53,3026.74,20,1,0,392.36
48.0,50719.99,89.63,16,0,0,8.52
18.0,25650.76,28.03,17,0,1,95.89
21.0,52848.76,200.04,16,1,0,197.95
18.0,54569.69,309.63,18,1,0,132.68
32.0,72676.44,114.59,13,1,0,203.82
44.0,61371.33,179.36,11,1,0,177.9
53.0,87198.32,112.12,15,1,0,120.93
36.0,54675.42,744.19,9,1,1,269.68
55.0,68573.97,623.4,20,1,0,227.43
18.0,99599.69,503.86,16,1,0,228.23
18.0,78545.63,244.87,9,1,1,302.5
34.0,68499.06,1198.67,15,1,0,296.45
40.0,54951.39,1745.55,14,1,1,382.74
35.0,54169.22,95.36,12,0,0,196.22
18.0,48734.67,126.17,12,0,0,155.27
34.0,56474.83,372.88,15,1,0,122.45
19.0,88891.65,47.84,12,1,0,184.69
43.0,64452.79,286.75,11,0,0,186.6
39.0,36255.67,435.89,24,1,1,239.08
24.0,114204.23,369.15,14,1,0,263.65
29.0,77999.13,200.92,17,1,0,105.46
22.0,34826.41,390.93,17,1,0,146.77
34.0,58953.78,1594.67,20,1,1,328.92
46.0,72772.16,115.35,21,0,0,100.81
23.0,112614.8,531.86,15,1,0,299.36
41.0,42297.19,22.18,23,0,0,139.46
29.0,94401.02,34.36,20,1,0,173.54
25.0,104987.16,401.29,18,0,0,288.93
34.0,54283.64,55.43,28,1,0,142.21
23.0,63062.16,11.3,10,1,0,196.84
28.0,44092.27,94.08,14,0,0,82.98
21.0,64913.47,416.03,13,0,0,139.38
59.0,69085.25,607.59,12,1,1,252.99
35.0,86491.25,113.12,7,0,1,366.12
27.0,97254.59,551.7,18,1,0,297.05
38.0,51297.6,100.74,12,0,0,90.81
34.0,20816.87,475.26,9,0,0,227.79
32.0,69468.88,265.48,17,1,0,127.67
42.0,77338.44,530.37,12,1,0,283.69
44.0,76235.44,2654.46,16,1,0,511.9
29.0,61833.17,1388.84,19,0,1,365.05
28.0,73118.8,2.15,13,1,0,131.97
32.0,107886.12,1083.32,23,1,0,290.71
18.0,79543.35,34.4,13,1,0,173.42
18.0,60665.79,1529.3,15,0,0,348.31
51.0,57495.05,165.52,13,1,0,95.55
55.0,65753.69,240.66,17,0,0,79.64
32.0,110918.5,48.06,9,0,0,276.75
42.0,65417.48,59.55,13,1,0,189.87
39.0,69505.14,648.67,22,1,0,308.28
72.0,57942.16,1444.18,15,0,0,211.19
48.0,97474.58,471.76,15,1,0,255.39
33.0,118995.93,629.13,17,0,0,375.0
24.0,81265.33,717.68,13,0,1,371.34
18.0,72069.32,152.46,14,1,0,171.61
37.0,70919.57,23.14,17,1,0,199.65
26.0,20000.0,0.94,12,1,0,36.12
18.0,88628.77,215.89,18,1,0,255.42
27.0,73354.16,138.18,14,1,0,119.85
22.0,80708.55,32.17,15,1,0,108.66
55.0,52213.45,98.94,11,1,0,128.64
46.0,60388.58,66.48,17,1,1,90.36
35.0,59724.38,1231.84,14,1,0,268.87
53.0,95540.57,75.57,16,0,0,130.01
36.0,60531.0,385.71,27,1,0,169.75
25.0,122066.51,449.6,21,1,0,306.37
53.0,80771.56,392.07,14,0,0,219.35
41.0,38107.93,52.16,14,1,0,125.25
23.0,66786.34,191.95,17,0,0,178.98
33.0,53708.12,26.32,17,1,0,111.4
24.0,20000.0,251.82,14,0,1,223.99
18.0,109986.77,104.5,15,1,0,270.09
46.0,87578.56,412.35,15,0,1,377.01
58.0,83330.18,590.14,17,0,0,295.33
18.0,74135.09,379.77,13,1,0,243.65
42.0,35449.56,284.79,17,1,0,218.52
27.0,57909.57,244.97,12,0,0,174.62
29.0,91044.52,921.61,10,1,0,303.9
28.0,43719.5,123.83,17,0,0,83.34
25.0,20000.0,662.54,20,1,0,103.44
36.0,64322.35,708.34,14,0,0,184.92
25.0,66456.06,271.67,14,1,0,215.94
38.0,73389.09,176.41,21,1,0,126.8
34.0,88212.97,317.95,20,1,1,330.42
32.0,85940.15,48.92,12,1,0,230.75
24.0,76469.25,23.51,14,1,0,184.81
28.0,99888.28,59.17,14,1,0,182.9
44.0,32025.76,103.6,7,1,0,145.36
41.0,82614.55,350.77,18,0,1,309.65
23.0,85663.46,945.69,18,1,1,247.79
36.0,39010.94,134.36,10,0,1,130.71
44.0,32428.23,1367.93,18,1,1,333.63
18.0,51351.45,1549.52,13,1,1,435.72
42.0,53461.46,1595.93,14,1,0,314.82
27.0,88835.49,908.73,13,1,1,444.56
42.0,54636.53,226.14,11,1,0,120.97
26.0,48591.29,37.73,10,1,0,117.95
18.0,54709.16,420.61,22,1,0,219.25
18.0,97965.81,408.99,22,1,0,264.13
36.0,70326.08,948.48,13,1,1,352.79
38.0,65518.72,2759.61,17,1,0,413.66
24.0,67249.86,354.8,22,1,0,234.7
43.0,102301.51,211.72,17,1,0,297.88
18.0,51270.71,102.84,11,1,0,173.31
34.0,102887.71,2.41,15,1,0,229.33
20.0,75262.41,355.77,11,1,0,196.26
27.0,65989.52,405.42,14,1,1,319.07
36.0,132522.51,871.31,10,1,0,327.08
25.0,43609.01,351.17,17,1,1,162.38
30.0,61157.86,1241.26,16,0,0,191.89
47.0,39189.22,494.54,21,1,0,197.59
28.0,93811.55,917.34,6,1,0,281.32
45.0,112229.72,80.26,8,1,0,286.69
21.0,111748.07,966.67,14,1,1,474.41
41.0,100598.72,562.19,11,0,0,430.29
52.0,65059.49,93.31,13,0,0,185.54
18.0,60868.98,105.21,14,1,0,61.15
25.0,28220.76,1305.24,23,0,0,249.74
42.0,120896.84,16.37,15,1,0,244.07
33.0,81724.45,310.45,22,1,0,190.45
39.0,57701.08,188.06,10,1,1,206.06
28.0,103201.42,546.93,16,1,0,288.88
36.0,45680.89,915.13,17,0,0,208.0
33.0,80165.55,223.44,9,0,0,182.4
49.0,65684.27,278.35,22,1,0,139.8
38.0,85966.93,2006.41,16,1,0,395.64
39.0,68410.66,766.05,14,1,0,118.29
30.0,33726.8,1137.51,13,0,0,133.13
29.0,71889.41,288.81,15,1,1,370.97
30.0,96221.6,133.34,15,1,0,242.17
40.0,69269.59,265.4,13,1,0,162.83
30.0,89377.88,629.55,12,0,0,182.91
38.0,43861.76,57.95,16,0,0,108.7
60.0,69343.48,157.68,10,1,0,233.71
45.0,54387.24,23.88,19,1,0,255.12
31.0,88674.52,283.12,22,0,0,306.26
49.0,70787.29,878.52,12,0,0,211.08
30.0,87251.84,12.49,13,1,0,174.96
18.0,97192.76,562.46,13,1,0,201.06
23.0,87290.46,1347.78,12,0,0,293.28
18.0,76827.96,135.2,17,0,0,172.53
31.0,45044.69,591.49,10,0,0,160.88
35.0,69930.35,1846.48,15,1,0,447.24
55.0,56672.74,1638.76,9,0,0,243.45
39.0,61398.4,133.89,24,1,1,215.37
32.0,60636.65,52.86,12,0,0,49.39
45.0,45501.86,80.25,10,1,0,145.57
18.0,21066.54,605.39,17,1,0,51.59
38.0,53296.42,646.87,16,1,0,244.41
44.0,74834.49,560.79,8,0,0,225.2
18.0,36295.57,204.8,12,1,0,48.97
49.0,70392.06,93.03,11,1,0,72.95
39.0,117506.71,434.66,15,0,0,249.55
30.0,95576.41,330.51,18,1,0,250.17
43.0,111088.54,652.51,19,1,0,320.5
62.0,79778.2,291.13,19,0,0,175.75
37.0,99187.75,206.73,11,1,0,293.34
38.0,51900.88,173.7,15,0,0,84.38
29.0,53891.49,118.79,11,1,0,1.31
25.0,20000.0,154.45,15,0,0,89.57
45.0,99653.64,49.82,20,0,0,278.79
25.0,108508.1,212.98,14,1,1,458.93
36.0,56170.57,18.63,14,0,0,71.21
29.0,63651.21,103.15,17,1,0,126.38
41.0,51153.45,686.73,15,0,0,227.17
39.0,79566.34,196.87,20,0,0,157.46
47.0,98123.31,551.67,16,1,0,274.68
29.0,26430.7,630.95,12,1,0,106.13
32.0,80235.96,435.16,15,0,0,169.52
23.0,63083.21,1593.42,11,1,0,268.69
30.0,72834.86,10.84,13,1,0,218.54
40.0,81474.85,670.95,13,1,1,353.95
44.0,65294.94,1594.5,18,1,1,448.39
