distance,package_weight,driver_experience,traffic_index,is_rush_hour,weather_bad,ai_optimized_route,delivery_time
4.53,10.25,4,1.0,0,1,1,41.3
10.9,2.09,4,2.6,0,0,0,37.3
4.05,8.69,2,6.0,0,1,0,29.6
8.74,5.24,2,5.7,0,0,0,48.6
6.08,8.29,6,2.3,0,0,0,28.6
116.32,9.17,5,1.1,1,0,1,136.3
74.8,14.74,7,4.5,0,0,0,110.2
103.13,18.28,6,2.6,0,0,1,162.9
7.46,3.3,4,6.4,0,0,0,32.8
55.33,13.07,8,5.4,0,0,0,145.0
116.0,2.21,8,6.7,0,0,0,195.6
153.23,9.61,3,3.1,1,1,1,261.2
3.01,9.0,4,7.8,1,1,0,87.7
23.83,8.44,3,1.2,0,0,0,71.1
22.58,3.12,1,5.0,0,0,0,103.6
10.36,6.97,5,4.8,1,0,1,23.2
8.38,4.19,6,9.4,0,0,0,81.3
23.18,5.5,4,6.5,0,1,0,86.4
62.21,42.02,4,8.9,1,0,1,157.1
65.59,9.14,3,6.8,0,1,0,168.1
43.05,18.43,5,4.7,0,0,1,95.1
77.07,52.38,5,9.2,0,0,0,203.8
60.84,3.26,4,9.4,0,0,0,151.2
79.37,2.43,5,9.8,0,0,0,187.2
184.12,29.3,4,4.2,1,0,1,253.6
43.31,2.11,5,1.8,0,0,0,62.1
72.72,2.84,6,2.0,1,0,0,141.4
89.58,12.53,7,4.9,0,0,0,173.5
122.05,3.96,4,2.2,0,1,0,233.5
39.4,9.8,3,9.3,1,0,0,140.5
125.61,12.27,8,3.3,1,0,1,184.1
38.72,1.13,6,7.5,1,0,0,113.8
59.06,40.12,9,5.7,0,0,1,117.4
21.4,75.01,6,9.2,0,0,0,148.0
210.06,6.63,7,6.1,0,0,1,303.3
12.26,16.58,7,9.9,0,1,0,83.3
14.92,87.01,3,1.7,1,0,1,50.8
14.5,10.2,6,7.0,1,0,0,82.5
27.32,2.0,6,6.5,0,0,0,79.1
73.06,10.26,5,7.1,0,0,1,128.4
207.42,2.87,6,3.9,1,0,1,274.5
48.07,6.47,4,1.8,0,0,0,89.6
48.06,25.67,11,2.9,1,0,1,60.4
37.5,27.3,4,8.8,1,0,0,116.6
116.15,1.9,5,8.5,1,1,1,204.6
20.15,13.1,5,3.0,1,0,1,20.4
10.53,5.63,4,1.3,0,0,0,19.7
12.99,2.99,7,7.0,0,0,0,54.8
98.31,9.67,8,3.0,1,0,1,129.1
9.3,12.78,6,5.4,1,0,0,63.5
34.61,26.49,3,5.0,1,0,0,126.6
19.41,12.77,3,7.0,0,0,0,70.5
10.13,5.97,8,4.2,0,0,0,44.9
42.45,6.27,3,4.9,0,1,0,148.0
96.61,30.73,2,8.5,1,0,1,150.5
19.26,4.94,8,3.8,1,0,0,54.7
6.38,5.14,5,2.7,0,0,0,41.4
48.77,7.44,6,4.5,0,1,0,132.0
67.31,7.25,5,3.4,0,0,0,107.7
40.94,5.26,8,9.1,0,1,1,117.6
6.25,25.2,9,1.1,1,0,0,59.5
1.0,10.26,5,8.4,1,0,0,75.9
4.51,39.45,7,3.2,0,1,0,69.7
128.0,37.1,5,3.5,0,0,0,244.8
43.08,13.15,3,2.0,0,0,0,90.0
23.33,6.03,4,5.7,0,1,0,104.6
10.11,1.88,6,1.4,1,0,1,10.0
60.03,3.99,6,4.9,0,0,0,126.2
72.26,33.38,5,7.6,0,1,0,197.8
82.39,5.22,10,7.5,0,0,0,156.7
1.0,3.53,9,2.2,1,0,1,10.0
73.47,23.64,6,4.0,0,0,0,144.6
8.71,8.53,6,8.1,0,0,0,61.0
79.64,7.18,5,2.3,1,0,0,152.1
8.19,16.25,5,2.9,1,0,0,46.5
14.05,2.28,2,2.7,0,0,0,73.1
75.23,5.17,3,9.3,1,0,0,164.3
49.59,25.03,3,1.3,0,0,0,98.0
1.77,11.05,10,2.0,0,1,1,38.5
9.06,15.27,6,9.9,0,1,0,80.5
13.13,27.73,5,7.5,0,1,0,93.9
92.66,20.66,3,7.4,1,1,1,183.8
47.6,5.21,2,3.6,0,0,0,120.7
10.19,8.18,5,6.7,0,0,0,72.2
14.74,1.19,5,5.2,0,0,0,52.8
30.34,36.34,5,3.9,1,1,0,109.2
4.37,11.68,14,1.6,0,0,0,10.0
26.64,2.88,6,10.0,0,0,0,104.3
78.82,1.52,6,1.7,0,0,0,114.4
25.17,4.63,10,5.7,0,0,0,72.7
77.04,6.48,9,5.6,0,1,0,156.9
48.99,7.92,3,7.6,0,0,0,125.9
25.91,1.85,6,2.6,1,0,1,40.2
111.91,3.2,6,8.9,0,0,0,229.6
29.12,9.92,5,8.1,1,0,0,143.5
66.37,94.09,8,6.2,1,0,1,166.8
80.34,10.5,5,6.5,0,1,0,168.6
123.8,11.3,9,4.1,0,0,0,230.3
16.26,2.05,7,1.8,0,1,0,54.4
11.23,7.41,5,3.0,1,0,0,12.7
29.72,1.93,6,7.6,0,0,0,104.0
104.05,6.49,0,1.2,1,0,1,120.6
19.99,45.14,2,2.2,0,1,0,92.5
15.97,3.79,8,8.8,0,1,0,83.3
1.81,8.89,8,8.4,0,0,0,83.5
60.28,2.86,7,8.2,0,1,0,164.7
60.16,12.75,6,5.9,0,0,0,124.5
89.91,5.69,5,8.3,1,0,0,183.7
34.24,1.42,4,6.0,1,0,0,98.6
110.55,6.81,5,4.9,0,0,0,177.4
4.5,48.16,7,9.7,0,1,0,97.3
41.4,12.24,7,9.8,0,1,0,115.6
32.39,9.41,2,3.0,0,0,0,82.8
113.91,4.39,7,3.5,0,0,1,165.1
119.46,4.9,5,3.5,1,0,1,177.0
187.35,34.23,4,1.2,0,0,0,315.6
21.71,6.0,8,7.0,0,0,1,52.8
23.88,9.94,3,7.7,0,0,0,71.4
10.7,11.94,9,2.1,0,0,0,31.5
67.88,2.28,6,9.1,0,1,0,177.6
89.55,0.71,3,2.5,0,0,0,157.2
95.58,2.35,11,6.8,0,0,0,158.9
232.32,1.73,8,8.4,0,0,1,339.1
41.28,28.99,5,5.4,0,0,0,130.1
12.06,2.8,5,2.8,0,1,0,36.3
45.96,4.06,5,1.5,0,0,0,89.5
22.52,12.47,3,6.1,0,0,0,72.4
20.31,4.04,4,4.5,1,0,0,62.7
60.27,17.99,3,1.9,1,0,0,164.1
11.35,71.88,6,8.7,0,0,0,99.1
39.37,25.92,7,1.3,0,0,0,94.4
7.6,16.81,3,8.0,0,0,0,82.4
110.76,3.9,6,7.9,1,1,0,224.8
4.64,5.93,6,1.0,1,0,1,10.0
134.41,8.3,5,2.3,0,0,1,154.5
394.1,25.92,4,7.2,0,0,1,559.9
13.42,7.75,5,5.1,0,0,0,40.9
4.87,5.96,6,6.3,1,0,0,61.8
1.61,34.0,9,3.5,1,0,0,63.9
7.87,21.03,6,3.2,0,0,0,27.0
123.38,1.6,4,6.1,1,0,0,222.4
65.47,13.85,3,3.8,0,0,0,116.3
4.83,4.57,4,1.1,1,0,0,42.3
162.73,100.0,3,3.3,0,0,1,292.7
53.2,6.4,5,3.2,0,0,0,85.0
132.74,10.55,3,3.4,0,0,0,203.9
62.48,21.32,5,7.4,1,0,0,144.1
23.55,31.8,2,1.6,0,0,1,34.4
3.49,13.73,6,1.4,0,0,0,10.0
1.0,13.58,6,5.0,0,0,0,56.8
47.05,21.98,6,4.4,0,0,0,115.3
34.93,7.93,4,8.1,0,0,0,84.6
43.36,6.74,6,8.5,0,0,0,131.1
165.98,16.89,2,5.2,0,0,1,255.0
116.87,15.47,9,2.9,1,0,1,161.3
22.07,8.65,4,3.6,0,0,0,44.8
19.17,13.23,2,7.9,0,0,0,77.2
16.71,27.29,8,2.0,1,0,1,31.3
141.18,6.13,5,5.4,0,0,0,214.1
119.43,1.46,6,9.2,0,0,0,229.7
138.22,4.83,5,2.8,0,1,0,232.0
13.18,16.58,7,1.0,0,0,0,37.9
31.73,6.45,4,5.4,0,1,0,108.1
21.93,6.42,2,4.0,0,0,0,84.0
19.49,4.08,3,7.4,0,0,0,99.7
5.07,11.98,5,8.5,0,1,0,97.2
91.74,15.37,4,3.1,0,0,0,142.8
17.63,5.81,4,3.8,1,0,0,35.8
21.63,13.63,4,1.2,0,0,0,28.9
46.56,32.17,3,6.5,0,0,0,116.4
130.29,3.56,10,6.1,0,0,1,180.9
64.4,6.21,7,5.4,0,0,0,119.4
51.49,8.28,4,3.1,0,1,0,135.9
5.03,6.11,3,6.3,0,0,0,46.7
48.86,5.14,4,6.5,0,0,0,136.9
15.48,13.09,5,8.4,0,0,0,74.4
51.01,6.76,4,4.1,1,0,0,95.5
19.83,22.91,5,8.6,0,1,1,86.9
3.99,7.86,8,8.1,0,0,0,79.2
93.09,3.74,5,8.5,0,0,0,149.9
40.45,9.78,3,2.4,0,0,0,73.1
16.51,43.26,2,2.7,1,0,1,49.2
22.1,9.47,5,8.5,0,1,0,113.6
48.11,10.95,0,6.1,0,0,0,118.8
56.89,29.73,7,6.7,1,0,1,107.6
33.36,2.88,2,5.4,0,0,0,86.4
37.31,11.6,1,7.4,1,1,1,108.0
5.64,5.88,2,6.1,0,1,0,77.4
7.95,2.22,9,1.9,0,0,0,31.8
11.79,7.3,6,3.5,0,1,0,47.7
37.79,9.22,5,9.3,1,0,0,139.7
27.22,1.27,6,5.0,0,0,0,51.6
42.31,0.95,2,2.8,1,1,1,112.5
9.49,3.81,4,4.3,0,0,0,55.1
172.12,11.79,5,3.5,0,0,1,221.2
47.75,6.96,3,6.8,0,0,1,90.9
6.85,38.47,6,6.0,1,0,0,94.1
23.12,7.04,4,2.0,0,0,0,60.0
196.12,6.7,6,9.0,0,0,1,269.9
169.62,8.63,10,4.1,0,1,1,260.9
3.63,17.26,8,7.3,0,0,0,33.6
88.86,4.0,4,5.1,0,0,1,153.3
51.35,14.08,10,9.8,0,0,0,138.8
10.23,13.82,1,6.8,0,0,0,75.7
89.56,4.27,5,9.7,0,0,1,165.1
51.03,21.98,1,8.2,1,0,1,99.8
6.01,16.82,6,6.3,1,0,1,38.3
94.18,25.08,5,6.7,0,1,0,219.3
71.18,15.86,2,7.3,0,0,1,148.3
1.0,31.77,5,7.0,1,1,1,83.1
14.68,14.93,2,1.7,0,1,0,63.0
15.69,1.5,2,6.6,0,0,0,65.5
30.76,1.1,4,3.7,1,0,1,39.6
13.09,10.12,5,4.3,0,0,0,40.1
87.93,26.86,4,1.7,0,0,0,160.6
60.51,1.95,5,7.9,0,0,0,164.0
1.53,10.22,5,3.7,0,0,0,31.0
61.37,23.47,3,4.5,0,0,0,164.5
151.1,2.66,6,6.9,0,0,1,221.9
34.06,6.24,3,9.8,1,0,0,99.8
10.05,11.59,8,1.4,0,0,0,11.4
106.18,2.17,2,1.5,0,0,0,148.0
53.86,25.54,9,3.9,0,0,0,98.0
27.93,8.53,5,7.8,0,1,0,114.0
26.56,6.71,6,9.0,0,0,0,102.0
16.57,1.55,5,1.9,1,1,1,60.2
5.62,9.07,4,4.1,0,0,0,38.6
102.84,2.95,4,4.0,0,0,0,207.0
204.25,21.93,4,3.2,0,0,1,283.2
145.93,10.18,6,7.4,0,0,1,223.9
9.27,2.17,4,5.6,0,0,0,53.1
27.15,2.64,6,1.3,1,1,1,36.1
17.26,6.91,6,1.4,0,0,0,42.7
21.01,13.6,5,5.2,0,0,0,68.6
19.51,16.11,7,3.4,1,0,0,68.7
132.55,1.57,3,1.4,0,0,1,178.8
146.83,5.33,3,2.9,1,1,1,246.9
2.07,2.65,6,1.9,0,0,0,10.0
38.39,20.37,6,8.9,1,0,0,134.5
54.22,6.63,2,3.2,1,1,1,105.8
14.11,3.61,7,5.9,0,0,0,54.0
3.16,32.94,7,1.5,0,0,0,10.0
3.9,14.73,3,8.0,0,1,0,82.4
66.94,7.0,3,1.6,0,1,0,139.6
22.72,4.21,4,2.8,0,1,0,45.7
41.52,0.86,6,7.0,0,0,0,102.2
19.04,5.23,3,9.8,0,1,0,112.8
84.37,5.6,3,2.9,0,1,1,105.4
4.9,22.74,6,1.5,1,1,0,72.2
1.0,2.08,5,4.5,0,0,0,25.5
29.1,10.78,4,5.4,0,1,0,114.1
25.84,14.48,3,7.2,0,0,0,92.2
1.0,5.09,7,8.6,0,1,0,99.4
88.33,7.18,8,4.9,0,0,0,159.1
38.63,11.42,2,7.3,1,0,0,130.1
91.82,6.43,6,2.8,0,0,1,139.4
30.59,57.78,7,9.4,0,1,0,118.8
48.33,24.2,6,4.4,1,1,1,104.5
1.41,10.87,8,2.3,1,0,0,10.0
76.54,7.33,4,4.4,1,0,0,143.9
3.23,16.35,8,2.6,1,0,0,44.3
15.92,6.95,8,4.0,0,0,0,71.4
31.7,2.29,4,8.0,1,0,0,118.4
14.5,12.84,7,1.9,0,0,0,30.7
3.04,5.07,6,1.7,1,0,0,24.7
61.0,10.02,2,2.3,0,0,0,118.0
25.12,5.07,1,4.9,1,0,0,78.0
67.32,2.84,0,2.3,0,1,0,168.8
13.66,64.0,8,7.9,0,0,0,69.8
32.02,3.06,8,7.1,1,0,0,118.4
21.9,11.61,5,9.2,1,0,1,75.4
28.56,21.33,4,9.5,1,1,0,135.6
180.34,11.26,6,4.4,0,0,1,259.6
25.48,25.98,5,6.0,0,0,0,84.4
36.17,13.61,3,7.3,1,0,0,112.5
160.42,0.71,5,6.9,0,1,1,271.6
2.53,1.99,4,1.4,0,0,0,10.0
19.18,8.5,3,5.7,0,0,0,70.4
11.41,2.5,3,5.7,0,1,0,65.2
30.08,11.74,5,4.2,0,0,0,87.6
6.33,53.54,5,4.1,0,0,0,77.2
30.85,11.93,4,5.3,0,1,0,98.0
17.21,8.92,4,3.0,0,0,0,41.4
172.17,28.47,8,8.2,0,1,0,335.3
8.71,32.06,3,4.6,0,0,0,71.1
31.23,15.47,5,9.7,0,0,0,118.0
57.88,4.73,7,3.0,0,0,0,117.5
46.2,6.45,4,6.1,1,0,0,136.3
20.11,3.78,8,4.6,0,0,0,54.6
15.51,5.16,2,5.4,0,0,0,51.9
26.4,14.82,5,7.1,1,0,0,96.7
3.63,13.15,5,5.8,0,0,0,55.3
20.89,8.06,2,5.1,1,0,0,98.1
45.5,11.01,3,7.8,0,0,0,104.4
224.0,14.94,6,9.0,1,0,1,340.4
50.01,7.11,4,2.0,0,0,0,77.3
146.57,9.24,4,7.6,1,0,1,230.7
1.0,14.3,6,1.4,0,0,0,35.5
74.17,3.78,4,2.5,1,0,0,148.1
31.18,13.6,11,4.4,0,0,0,72.9
48.15,0.88,5,1.5,0,0,1,44.1
22.18,9.01,6,2.2,0,0,0,55.1
17.41,4.35,4,8.0,0,1,0,66.1
21.65,0.62,4,3.8,0,0,0,43.6
45.63,11.53,6,4.0,1,0,1,72.7
48.06,5.38,7,9.2,1,1,0,172.3
40.16,1.86,6,8.7,0,0,0,103.9
26.13,13.94,1,6.6,0,0,0,81.3
76.4,3.0,3,6.4,0,0,0,143.9
79.68,6.25,3,1.5,1,0,1,101.2
63.94,26.36,5,5.7,0,1,0,189.1
9.47,10.93,2,2.1,0,0,0,33.8
23.0,2.69,8,3.2,1,0,0,58.8
120.55,11.68,9,7.1,0,1,1,209.3
31.44,26.16,4,1.1,0,0,0,55.3
36.92,9.03,8,2.1,0,0,0,77.2
85.94,11.2,5,2.6,0,0,0,154.6
139.39,13.62,7,4.3,0,0,0,232.1
137.68,8.33,2,3.6,1,0,1,210.1
14.73,7.15,6,5.6,1,0,0,46.5
3.78,10.92,5,8.7,0,0,0,48.5
36.62,10.62,8,3.1,0,1,0,94.7
59.74,11.71,6,5.9,0,0,0,103.9
73.09,14.8,7,4.3,0,0,1,100.2
54.81,0.38,6,9.6,0,0,1,115.9
4.65,9.36,8,8.9,0,0,0,67.5
20.35,6.77,5,5.4,0,0,0,26.4
1.0,36.89,4,6.6,0,1,0,57.8
78.82,6.03,5,3.1,1,0,0,153.9
4.47,9.98,5,5.4,0,0,0,46.1
45.95,3.64,6,8.0,1,0,1,73.6
21.05,15.77,3,2.3,1,0,0,102.5
30.95,3.14,7,3.9,0,1,0,108.3
17.3,6.93,3,9.4,0,0,0,83.3
67.16,100.0,5,2.1,1,0,0,174.6
20.12,4.64,6,4.0,0,0,0,60.5
62.87,4.3,6,2.4,0,0,0,125.2
24.19,2.76,5,2.5,0,0,0,46.2
26.25,5.25,1,5.0,0,0,0,94.4
39.41,1.81,7,5.4,0,1,0,101.9
28.56,2.83,4,6.7,0,1,0,70.2
44.71,10.7,4,9.9,0,0,0,143.2
124.96,19.68,3,9.6,0,0,0,262.1
22.46,0.81,7,7.7,1,0,1,61.0
61.9,12.24,3,9.3,1,1,0,176.4
103.36,25.21,9,9.6,1,1,1,201.8
4.28,2.85,7,1.1,0,0,0,10.0
40.83,42.64,8,7.0,0,1,0,150.9
6.32,27.62,5,3.5,0,0,0,38.8
77.49,3.56,2,2.4,0,0,0,134.1
23.18,8.06,7,1.2,1,1,1,40.9
35.83,20.09,5,6.6,1,1,0,132.0
38.01,18.14,5,7.4,0,0,0,123.6
43.79,5.91,4,6.2,0,0,0,81.8
194.58,3.57,2,5.7,0,0,1,277.6
35.85,22.57,7,6.0,1,1,1,155.5
69.33,7.58,2,6.1,1,0,1,107.5
187.8,2.71,6,2.7,1,0,1,257.2
72.11,0.2,3,8.3,0,0,0,169.3
89.74,3.98,4,7.2,0,1,1,172.3
2.27,8.71,6,2.6,0,0,0,31.6
10.46,24.6,6,5.3,1,0,0,49.2
56.79,1.91,5,4.9,0,0,0,136.4
116.04,5.18,5,3.5,0,1,0,220.2
3.26,7.4,8,6.7,0,1,0,51.8
82.91,43.13,7,8.9,1,1,1,202.3
10.31,1.37,8,6.8,0,0,0,27.9
29.48,7.7,3,3.7,0,1,0,88.2
92.87,4.8,7,1.5,1,1,1,187.1
9.41,3.21,8,1.7,1,0,0,15.3
53.26,12.1,4,4.2,1,0,0,113.4
88.44,24.25,6,6.4,0,0,1,159.4
49.28,1.93,8,9.4,0,0,0,97.8
1.42,2.8,2,5.1,0,1,1,47.4
53.23,1.37,5,7.7,0,0,0,118.6
10.1,6.45,5,1.1,0,0,0,42.8
9.92,8.1,7,6.6,1,0,0,66.6
24.83,14.96,6,3.3,0,0,0,90.2
74.07,7.21,5,9.0,1,0,0,186.6
5.13,7.64,8,5.2,0,0,0,28.8
33.34,34.3,7,7.5,1,0,0,126.2
109.99,16.49,6,5.5,1,0,1,167.2
32.93,0.95,4,5.0,1,0,0,101.9
18.66,15.64,4,1.1,1,0,0,57.4
16.32,4.33,2,6.7,0,0,0,41.2
221.87,5.59,7,2.3,0,0,0,350.4
5.7,6.71,4,8.1,1,0,0,76.5
26.53,3.28,6,6.9,0,0,0,72.7
69.23,14.03,0,7.8,0,1,0,173.4
18.34,1.37,5,8.7,0,0,0,84.5
93.0,19.36,8,6.0,0,0,0,166.4
47.82,27.13,6,4.1,0,0,0,106.2
30.89,10.4,4,4.4,0,0,0,98.6
129.55,12.91,10,2.8,0,0,0,205.3
23.48,1.44,8,1.7,1,0,0,60.4
168.65,2.14,7,8.7,0,1,0,333.1
3.75,8.01,2,5.1,0,0,0,16.8
2.01,3.69,5,3.0,1,0,0,37.6
4.27,2.29,2,7.4,0,0,0,67.7
4.44,23.36,3,6.5,0,0,0,52.4
13.2,4.94,1,3.2,0,0,0,33.2
26.16,20.19,2,2.3,0,1,0,107.9
83.4,1.86,5,7.8,0,0,0,157.1
24.76,2.51,8,2.7,0,0,0,65.0
6.77,15.1,2,7.5,0,0,0,65.4
1.57,7.19,11,1.3,1,0,0,39.8
40.79,21.04,8,4.0,0,0,0,96.7
13.15,9.14,8,4.3,0,1,0,46.6
22.39,38.98,6,4.9,1,0,1,87.3
13.85,23.31,3,5.8,1,0,0,91.8
26.0,12.29,4,2.4,1,0,0,59.8
180.74,2.62,5,5.6,0,0,1,270.4
180.8,2.72,4,7.2,0,0,1,287.6
62.42,1.32,2,8.0,0,0,0,148.0
13.49,15.08,6,4.2,0,0,0,33.2
96.19,5.72,5,5.3,1,0,0,185.3
1.0,1.2,3,8.6,0,0,0,52.1
36.15,5.92,4,9.2,1,1,1,102.9
104.76,6.8,6,4.8,0,0,1,130.3
27.12,6.05,7,1.8,0,0,1,19.9
14.06,6.59,5,4.4,1,0,1,41.8
49.19,35.83,4,9.9,1,1,0,169.2
85.28,6.55,5,7.9,0,0,0,156.7
55.33,1.66,6,8.2,1,0,0,172.4
14.56,5.66,5,9.1,0,0,0,70.1
6.7,12.5,8,1.0,0,0,0,23.6
16.0,3.38,6,3.5,0,0,0,55.0
7.74,11.01,3,6.2,0,0,1,39.7
159.06,7.58,3,2.6,1,0,1,206.8
22.95,21.77,4,3.1,0,0,0,48.5
171.37,15.6,4,9.5,0,0,1,293.9
