prior_score,attendance_rate,parental_income,class_size,learning_disability,after_school_tutoring,final_score
50.0,75.3,35096.62,17,1,1,93.6
47.1,84.5,24393.93,32,0,0,66.1
71.2,90.4,73226.8,16,0,0,87.0
64.5,57.8,49419.32,39,0,0,65.8
57.9,76.5,54375.47,39,0,0,64.6
80.8,76.6,18569.92,19,0,1,100.0
56.1,67.4,140128.17,25,0,0,71.3
71.3,87.3,63087.54,28,0,0,87.1
82.6,96.3,116691.3,32,0,0,100.0
59.9,89.0,29843.15,24,0,0,69.2
37.6,82.3,62901.45,21,0,0,53.6
59.0,81.0,73405.91,22,0,0,79.1
67.8,95.7,64022.1,39,0,0,88.8
80.0,85.0,67288.78,34,0,0,83.4
57.2,78.5,29882.92,31,0,0,74.7
90.8,94.1,70158.04,21,0,0,100.0
45.5,91.4,39287.43,37,0,0,67.7
67.5,63.7,43964.72,30,0,0,72.6
61.4,84.0,60370.38,31,0,1,98.3
85.2,77.7,50213.75,18,0,0,87.3
42.9,69.1,51678.18,18,0,1,84.1
71.4,85.9,105028.59,15,0,0,87.2
61.3,84.9,55380.07,37,0,1,94.8
87.9,80.2,49096.96,17,0,1,100.0
52.6,46.7,56302.24,26,0,0,63.8
71.2,89.7,34346.53,31,0,0,79.8
52.4,78.4,64944.03,30,0,0,73.6
67.8,84.5,85898.38,28,0,0,79.7
59.5,73.9,70051.91,37,0,0,69.7
59.2,81.5,60981.66,17,0,0,81.9
35.2,84.8,80881.36,33,0,0,67.5
71.2,82.8,45385.31,33,0,0,77.1
48.8,60.3,61060.71,30,0,0,60.6
48.2,82.7,120469.76,18,0,0,72.3
41.7,92.9,51687.03,35,1,1,72.7
49.2,83.9,81140.95,31,0,0,76.0
72.5,88.1,82162.09,33,0,0,87.9
71.8,50.0,40993.18,26,0,0,70.1
75.0,33.7,84454.72,15,0,0,82.2
49.6,91.6,44204.23,33,0,1,93.7
68.2,95.8,74200.89,33,0,0,84.0
55.8,86.3,43849.55,34,0,0,74.0
79.3,83.3,68908.18,26,0,0,90.7
71.4,93.2,63870.44,26,0,0,85.2
55.2,87.8,63320.8,31,0,0,74.0
80.6,93.9,68595.39,19,0,0,93.9
72.6,85.8,45920.75,18,0,1,100.0
44.2,85.6,33417.18,19,0,0,62.9
39.9,84.4,62367.73,20,0,0,62.3
44.8,83.5,103922.08,17,0,0,80.3
89.7,73.0,80147.34,29,0,0,91.7
49.8,93.3,74878.63,17,0,0,67.9
93.1,75.8,46376.89,27,0,0,98.9
49.0,82.3,65725.72,19,0,0,70.3
47.4,72.6,39527.51,35,0,0,63.0
78.2,82.9,48446.05,23,0,0,85.8
78.9,72.5,71578.45,37,0,0,91.6
73.3,92.0,24141.03,29,0,0,77.0
75.1,65.8,142168.73,36,0,0,94.3
53.0,88.5,30727.55,16,0,1,92.0
77.5,83.1,153946.07,23,0,0,100.0
68.6,96.1,39361.7,29,0,0,79.2
59.5,75.2,39167.76,17,0,0,86.4
66.4,71.2,49079.66,21,1,1,88.1
80.9,92.6,48063.99,22,0,0,89.4
70.9,91.1,44244.85,27,0,0,77.9
32.6,89.0,49747.48,39,0,0,57.8
78.4,89.5,62683.75,35,0,0,83.4
77.2,79.4,38226.71,36,1,0,83.3
59.3,98.3,91158.68,29,0,0,72.5
66.8,83.0,121310.57,20,0,0,75.2
66.7,91.4,22643.92,35,1,0,64.3
35.3,82.5,151402.01,27,0,0,72.0
59.0,76.9,88103.71,21,0,0,84.3
59.6,51.5,68103.26,31,0,0,70.4
62.6,97.6,44931.04,29,0,0,77.0
57.1,79.2,65075.81,19,0,0,74.7
74.9,90.1,93781.84,24,0,0,93.8
52.9,71.2,220787.68,36,0,0,78.6
78.7,85.1,179147.86,26,0,0,100.0
74.2,81.1,27880.71,33,0,0,70.9
85.4,82.9,53964.92,32,1,0,78.8
91.0,90.3,62240.56,18,0,0,96.6
91.1,94.1,117216.48,27,0,0,95.4
47.2,75.8,57415.66,17,1,0,57.7
70.2,86.7,41042.99,20,0,0,79.3
54.2,82.7,61506.27,20,0,0,74.4
100.0,63.4,49381.57,18,0,0,97.3
74.2,56.3,98052.35,18,0,0,85.6
86.2,71.6,197559.65,27,0,0,100.0
71.5,91.7,94398.41,24,0,0,89.1
25.5,73.4,96319.52,24,0,0,63.2
53.2,91.3,111056.47,25,0,0,82.8
54.7,61.1,75152.18,27,0,0,71.4
59.1,69.2,49051.61,24,0,0,67.0
70.4,69.4,51528.53,25,0,1,81.7
72.5,83.1,103569.82,32,0,0,77.3
25.6,64.5,69180.12,21,0,1,81.2
61.4,92.9,36638.75,23,0,0,72.8
57.7,87.9,115215.67,27,0,0,74.6
85.7,86.6,40657.65,39,0,0,85.6
73.9,55.9,34074.65,24,0,0,75.8
62.3,41.7,38621.03,32,0,0,66.8
68.4,86.4,69786.31,29,1,0,68.7
39.7,85.9,97378.63,39,0,0,71.4
74.9,89.5,68005.93,19,0,0,86.7
59.1,87.9,45323.07,29,0,0,73.4
52.9,78.2,39976.1,25,0,0,64.3
84.7,97.4,88041.21,20,0,0,100.0
69.1,94.9,57162.05,15,0,0,83.8
55.0,68.6,71004.76,28,0,0,73.7
55.9,80.7,55818.73,29,0,0,73.3
70.5,91.7,69544.39,21,0,1,100.0
69.3,83.2,72774.72,29,0,0,78.4
65.4,61.2,201327.31,30,0,0,91.3
46.9,74.6,73221.47,38,0,0,65.0
49.2,95.7,49330.87,19,0,1,92.8
53.8,91.9,65369.19,36,0,0,71.9
62.1,74.2,37241.66,34,0,1,99.6
64.4,89.5,37078.28,33,0,0,76.4
62.6,89.8,111841.55,33,1,0,65.6
63.3,88.6,69708.68,32,1,0,68.8
93.2,87.2,104768.06,20,0,0,100.0
77.7,73.9,26570.11,23,0,1,96.9
82.8,56.4,36762.58,17,0,1,90.0
72.0,72.0,69502.23,31,0,0,75.5
66.1,71.7,39648.97,24,0,0,84.9
71.1,92.2,29378.36,30,0,1,95.7
68.4,71.7,34910.56,15,0,0,76.8
77.1,91.0,50991.7,18,0,1,100.0
50.4,72.7,73611.09,15,0,0,74.6
75.9,70.7,141150.15,32,0,0,90.4
67.5,88.9,35372.98,34,0,1,96.1
37.9,65.6,36299.19,18,0,1,90.1
66.3,74.1,28984.92,25,0,1,88.6
45.4,81.3,79742.44,38,0,0,71.8
57.0,72.2,63729.63,18,0,0,76.6
62.6,80.5,36959.7,33,1,1,86.8
42.4,77.3,39521.05,18,0,1,81.8
64.2,64.0,56276.69,19,0,0,77.1
66.0,89.6,57891.21,35,0,0,79.8
76.3,62.3,35602.1,27,0,0,82.7
58.2,84.8,65420.69,18,0,0,68.4
69.1,92.6,30087.69,24,0,0,96.5
63.6,84.0,61359.58,32,0,1,98.1
58.7,90.3,54787.17,17,0,0,79.5
39.9,61.6,73171.01,33,1,1,87.6
63.3,59.7,109714.8,19,0,0,75.9
76.2,53.8,49744.83,25,0,1,90.2
51.0,90.3,59886.09,16,0,1,91.2
61.7,97.7,22240.27,32,0,0,86.5
63.9,63.2,160469.7,25,0,0,84.1
81.5,79.1,23616.56,26,0,0,98.3
65.5,78.9,57443.99,30,0,0,75.1
69.3,92.9,16742.39,16,0,0,67.1
64.9,90.0,39623.19,36,0,0,68.9
57.6,69.1,142589.31,38,0,0,81.8
48.0,95.2,106123.09,30,0,0,78.7
60.7,80.1,97978.75,30,0,0,81.1
70.9,98.3,54373.05,36,1,0,68.9
66.8,87.2,136689.1,18,0,0,83.5
87.2,83.4,68096.45,22,0,0,86.4
79.2,76.3,84535.06,18,0,0,87.9
83.6,51.7,224909.78,25,0,0,100.0
34.5,87.0,103276.08,39,0,0,71.0
88.7,77.9,57946.24,22,0,0,97.1
69.0,78.3,77281.85,26,1,0,73.1
71.1,90.9,120821.21,18,0,0,100.0
78.4,61.4,81734.84,21,0,0,85.7
65.3,78.2,88568.48,27,0,0,69.7
48.9,91.6,114001.55,25,0,0,69.9
86.7,88.2,212154.4,24,0,0,100.0
53.5,64.7,37518.8,23,0,0,59.8
50.2,80.3,85053.84,20,0,0,79.3
61.5,66.5,75342.03,31,1,0,65.8
59.2,66.9,49372.76,27,0,0,77.9
65.1,90.7,43317.36,20,1,1,92.9
63.5,68.3,136766.07,38,0,0,69.5
85.2,86.0,35913.9,39,0,1,100.0
71.9,75.8,29598.41,31,0,0,77.9
52.1,89.4,45184.4,27,1,1,85.5
54.2,63.0,24564.29,35,0,1,85.6
59.2,87.4,39224.59,29,0,1,91.5
59.2,82.1,35373.63,30,0,0,75.3
57.3,71.2,62506.33,35,0,0,72.5
48.5,96.9,123345.14,38,0,0,76.8
69.4,81.5,44594.73,21,0,1,89.3
58.2,92.6,92277.05,35,0,0,79.4
50.7,80.5,87171.38,27,0,0,72.0
72.3,67.6,19727.41,20,0,0,80.4
77.7,88.9,45435.04,22,0,1,100.0
61.3,77.6,49612.29,36,0,0,72.7
91.7,79.0,72455.57,24,0,0,94.2
98.2,87.5,79620.97,35,0,0,100.0
72.5,92.9,70644.34,24,0,0,90.4
58.0,77.4,38273.13,15,0,0,69.3
69.0,95.4,43623.01,26,0,0,74.4
46.6,62.5,28236.73,22,0,1,90.9
51.9,96.3,61894.88,22,0,0,78.5
39.8,95.1,49831.73,36,1,1,86.0
55.6,88.6,78145.97,21,0,0,71.2
46.5,86.1,84833.0,21,0,0,75.6
74.4,72.1,50671.26,29,0,0,76.4
53.8,90.0,68943.96,26,0,0,79.9
69.1,55.9,53749.54,30,0,0,74.4
76.2,88.7,34312.2,30,0,0,77.3
82.6,83.4,40131.58,16,0,0,89.6
59.7,64.4,19255.43,28,0,0,70.5
69.7,80.4,49125.19,30,0,0,82.8
70.1,89.6,44499.27,28,0,0,81.9
84.1,86.0,34628.48,20,0,0,79.0
76.8,94.0,90182.4,37,0,0,97.5
84.6,89.5,77896.83,38,0,0,95.7
40.0,55.6,78973.98,32,0,0,60.1
55.0,87.5,84610.37,24,0,0,83.0
80.5,93.7,59820.51,38,0,0,82.7
73.7,90.6,59513.7,29,0,0,83.6
63.1,78.3,90681.09,32,0,0,84.4
57.9,82.1,83586.43,23,0,0,88.1
76.8,83.1,100078.27,30,0,0,87.4
35.3,59.2,58582.78,30,0,0,47.0
76.9,83.5,36563.66,16,0,0,88.6
66.4,82.6,67410.2,29,0,0,87.1
57.7,88.6,44840.8,33,0,0,64.7
72.5,92.2,83014.27,38,0,0,85.7
59.2,80.2,69140.8,25,0,0,81.6
65.4,94.1,61434.11,36,0,0,88.0
64.3,86.7,49216.62,39,0,1,86.2
76.2,85.3,98749.16,22,0,0,89.2
67.4,94.7,95030.21,24,0,0,84.0
36.4,92.6,45240.85,20,0,1,80.5
44.1,73.0,32396.59,33,0,0,62.0
48.7,89.0,65494.58,17,0,0,73.6
71.8,92.8,108331.5,32,0,0,98.3
73.4,97.7,31859.97,22,1,1,82.7
90.1,81.6,75749.04,35,0,0,97.1
49.8,81.2,39716.13,23,0,0,63.8
84.6,87.6,36009.85,19,0,0,84.1
35.9,57.8,95376.95,19,0,0,59.4
65.3,87.7,82881.8,38,0,0,82.6
68.7,89.6,55484.27,29,0,0,78.8
68.6,68.1,88854.01,38,0,0,78.6
60.4,80.4,84268.2,16,0,0,79.1
66.8,60.5,28477.68,38,0,0,73.3
46.5,87.7,62450.89,27,0,0,74.7
78.0,63.5,121346.17,37,0,0,86.9
68.7,71.8,75879.89,26,0,0,81.1
70.4,74.6,16189.38,36,0,1,91.3
60.8,72.7,35055.07,17,0,0,81.5
60.1,81.6,98507.4,19,0,0,82.8
72.9,87.5,45316.09,32,1,0,74.5
88.8,78.0,104890.22,25,0,0,96.7
44.1,58.0,166550.07,30,0,0,71.8
43.3,89.4,53158.12,23,0,0,57.2
69.0,86.4,43961.97,35,0,0,77.5
60.0,89.5,36203.98,38,0,0,76.4
66.9,91.6,87476.17,35,0,0,83.7
64.6,85.6,44296.46,23,0,0,77.2
74.3,52.9,48966.01,26,0,0,84.6
60.7,85.5,34396.65,25,0,0,76.5
46.9,92.9,48229.09,15,1,1,79.8
53.2,74.3,42051.15,20,0,1,80.4
62.6,86.2,22225.78,27,0,1,96.5
46.2,95.7,39366.18,38,1,0,52.5
64.4,87.0,86950.55,37,0,0,82.4
65.9,84.8,117535.75,16,0,0,90.7
59.6,86.1,56764.43,32,0,0,76.8
68.1,66.6,60891.42,30,0,0,85.2
40.8,82.1,69077.98,24,0,1,86.4
50.7,91.7,159740.42,31,0,0,83.2
47.9,84.5,36137.08,30,0,0,64.1
78.2,81.6,31854.33,31,0,0,81.9
99.6,78.4,58349.3,29,0,0,100.0
51.8,69.8,72919.01,17,0,1,94.9
61.5,93.9,58883.51,17,0,0,72.1
54.6,88.0,30264.45,38,0,0,65.7
68.3,93.3,93190.75,23,0,0,87.7
55.9,87.6,55878.28,19,0,0,77.7
69.2,83.5,78998.85,31,0,0,76.9
75.0,74.2,130143.87,32,0,0,86.9
46.6,73.7,28806.49,30,0,0,65.3
69.1,81.1,25357.25,34,0,0,80.4
38.1,85.7,79441.99,23,0,1,90.0
61.2,94.1,21650.01,29,0,0,74.0
60.1,72.4,49023.79,35,0,0,67.0
61.6,74.9,44997.02,23,0,1,89.9
60.3,69.3,71677.07,27,0,0,79.6
57.6,83.7,42913.68,15,0,1,97.1
61.0,86.7,76571.72,30,0,0,74.3
68.6,78.7,35119.28,23,0,0,86.1
69.0,92.0,32175.49,38,0,0,75.4
66.7,63.3,60454.21,27,0,0,76.8
56.4,94.3,63110.39,28,0,0,71.0
81.2,91.1,69397.32,25,0,0,99.9
87.9,89.6,125465.77,15,0,0,100.0
45.7,56.1,113584.8,37,0,0,67.2
67.5,83.2,75042.4,28,0,0,79.7
58.0,85.5,89742.22,35,0,0,88.2
78.9,64.0,68259.34,38,0,0,85.8
64.8,61.2,107985.39,34,0,0,88.7
65.8,54.7,71821.65,32,0,1,92.0
72.4,84.0,45427.76,15,1,0,74.2
60.5,72.5,41100.17,37,0,0,75.4
90.2,53.4,106456.38,15,1,0,84.9
72.6,92.5,54636.5,39,0,0,85.0
79.0,86.1,156122.87,31,0,0,99.0
61.7,85.1,34467.77,36,0,0,78.3
63.2,79.2,111940.18,16,0,0,79.5
77.2,98.3,48375.89,36,0,1,100.0
75.7,81.0,73396.6,36,0,0,82.8
46.3,93.6,31230.0,30,0,1,90.6
66.9,59.2,23878.95,19,0,0,72.6
72.1,78.1,125491.44,19,0,0,86.8
63.0,89.4,48081.74,38,0,0,83.9
70.7,75.2,97996.36,21,0,0,91.1
63.7,71.2,43121.51,35,0,0,79.2
31.3,80.6,98062.87,18,0,0,69.4
45.3,82.9,48324.23,15,0,1,91.0
79.6,89.3,32687.93,32,0,0,89.1
61.3,87.8,82722.13,24,0,0,79.4
67.8,96.0,96018.89,21,0,0,94.1
64.9,95.0,82472.15,25,0,0,84.6
52.6,81.5,55693.77,15,0,1,88.6
58.0,64.7,24973.52,39,0,1,86.9
69.9,56.4,35084.91,20,0,0,73.0
71.5,53.5,42150.2,19,0,0,80.5
97.8,68.6,52620.93,36,0,0,98.0
57.8,81.7,105387.53,27,0,0,83.3
90.1,75.6,56461.7,31,0,0,84.7
52.1,69.9,20882.95,32,0,0,55.5
72.3,81.6,16391.82,21,0,1,95.8
67.7,79.9,42303.37,20,0,0,79.9
63.1,86.0,46320.41,21,0,0,84.3
64.9,93.9,71526.54,26,0,0,79.3
55.7,89.3,28962.33,20,0,0,67.4
78.6,91.8,29991.3,37,0,1,95.4
52.4,94.4,75116.46,30,0,0,69.5
69.8,92.9,116669.81,37,0,0,86.0
76.3,76.5,22431.71,36,0,1,88.7
85.8,67.9,40763.02,22,0,0,87.4
79.6,84.5,104361.89,29,0,0,92.4
73.6,94.3,95467.19,37,0,0,85.5
55.4,93.9,37690.16,23,0,0,68.6
53.2,94.9,106931.0,27,0,0,73.3
47.9,88.5,61233.73,35,0,1,77.6
46.5,78.1,83285.16,26,0,0,65.8
65.0,81.6,42107.59,28,0,1,91.4
54.1,90.3,69300.56,22,0,0,65.2
83.0,94.0,33426.22,29,0,0,96.0
56.3,90.5,45539.1,38,1,1,91.0
66.4,85.1,51614.66,38,0,0,77.4
61.0,99.5,64219.59,18,0,0,70.9
43.9,81.5,199439.27,23,0,0,85.9
81.3,90.6,215330.62,34,0,0,100.0
75.4,77.9,49318.15,20,0,0,75.9
77.2,78.3,125467.19,20,1,0,76.3
73.9,76.1,34386.65,16,1,1,89.0
53.6,72.6,73104.01,37,0,0,65.5
53.9,94.6,42496.37,21,0,1,89.4
71.8,81.4,47787.45,15,0,1,88.4
88.1,86.2,226472.72,35,0,0,100.0
70.8,86.9,49340.88,23,0,0,87.3
79.7,88.7,43264.12,19,0,0,84.1
57.1,91.5,36309.68,37,0,0,76.8
81.5,77.2,40756.34,23,0,0,83.8
58.7,95.8,29410.6,27,0,1,93.0
68.6,57.7,66931.55,15,0,0,71.9
59.5,85.4,66332.4,39,0,0,78.1
78.3,59.4,70888.15,34,0,0,86.6
78.5,58.5,59533.05,29,1,0,73.0
42.8,74.5,45085.24,31,0,0,59.4
84.9,69.8,43112.9,22,0,0,77.0
100.0,91.1,64828.58,29,0,0,100.0
59.7,77.5,58351.64,33,0,0,72.8
63.1,62.0,43569.69,25,0,1,85.6
83.6,71.5,51880.61,22,0,1,97.6
66.0,80.3,129278.51,20,0,0,88.0
64.9,61.2,160345.53,20,0,0,79.1
93.5,94.0,53631.1,22,0,0,100.0
44.7,96.2,41485.98,39,0,1,86.1
53.2,71.7,58597.67,38,0,0,64.7
71.3,60.7,105655.69,37,1,0,67.8
40.7,72.5,58580.9,33,0,1,85.1
59.4,90.0,71506.61,34,0,0,65.0
59.3,89.7,43098.05,23,0,1,90.4
79.4,97.7,33411.49,34,0,0,90.4
75.4,71.4,87621.07,38,0,0,84.0
39.8,91.1,66000.81,20,0,0,72.7
54.6,93.7,83109.8,19,0,0,78.6
54.6,87.7,25453.37,30,0,0,66.6
61.8,64.0,149689.95,21,0,0,81.5
48.5,82.7,67923.69,15,0,0,71.7
71.8,61.3,24255.14,24,0,0,71.3
54.6,51.4,98071.69,33,0,0,72.6
73.8,83.1,49677.41,19,0,0,93.1
65.0,82.9,60794.46,34,1,0,62.4
50.4,93.7,47152.33,33,0,0,73.5
85.8,77.8,57013.98,33,0,0,85.6
86.3,84.7,58468.29,23,1,0,78.8
69.4,76.8,25976.95,35,0,0,74.2
61.4,82.7,92307.54,17,0,0,77.9
49.2,72.5,63350.25,35,1,1,85.2
81.1,73.8,74839.03,23,0,0,88.8
77.3,89.6,90036.95,33,0,0,89.1
52.8,87.4,63603.88,30,1,1,88.7
54.7,75.0,70653.77,35,0,0,73.5
71.9,65.9,28703.92,16,0,0,77.5
47.4,86.5,39529.94,22,0,1,93.0
55.6,70.4,62474.03,28,0,0,71.4
49.4,92.8,65699.88,20,0,0,83.3
49.9,53.3,73156.32,26,0,0,60.7
54.2,89.3,120936.77,38,0,0,71.2
78.6,60.9,57119.2,15,0,1,98.8
38.7,87.0,71786.13,32,0,0,69.2
